name_of_interviewer,district,age,gender,caste_ethnicity,occupation,any_health_problem,are_main_problems_addressed,biggest_prob,satisfied_with_gov,top_thing_gov,information_about_gov_support,a_Top_need_info,Satisfied_with_NGOs,a_Top_need_NGOs,is_support_fair,a_Top_reason_not_fair,prepared_for_winter,have_been_heard,relief_effort_progress,a_Top_problem_women,id,submission_time,index,Dage_1,Dage_2,Dage_3,Dage_4,Dage_5,Dage_6,Dgender_1,Dgender_2,age_15_40,age_40_and_above,age_not_avail,Doccupation_1,Doccupation_2,Doccupation_3,Doccupation_4,Doccupation_5,farmer_laborer,not_farmer_laborer,Dcaste_ethnicity_1,Dcaste_ethnicity_2,Dcaste_ethnicity_3,Dcaste_ethnicity_4,Dcaste_ethnicity_5,Dcaste_ethnicity_6,Dcaste_ethnicity_7,Dcaste_ethnicity_8,Dcaste_ethnicity_9,caste_Brah_Chhe,caste_New_Gur_Tam,caste_Janjati,caste_Dal_Mus_Other,Dany_health_problem_1,Dany_health_problem_2,Dany_health_problem_3,Dare_main_problems_addressed_1,Dare_main_problems_addressed_2,Dare_main_problems_addressed_3,Dare_main_problems_addressed_4,Dare_main_problems_addressed_5,Dare_main_problems_addressed_6,Dare_main_problems_addressed_7
"Suruchi Pant","Kathmandu","40_54","female","Newar","other","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","don_t_know",NA,"4___mostly_yes",NA,"don_t_know",NA,"4___mostly_yes","1___not_at_all","don_t_know","long_term_shelter__housing",736272,"2015-09-30T12:25:57",1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Suruchi Pant","Kathmandu","55_greater","male","Newar","skilled_worker","no_difficulty","2___very_little","long_term_shelter__housing","1___not_at_all","cash_for_work","2___very_little","news_about_government_decision","2___very_little","building_mater","2___very_little","based_on_caste","4___mostly_yes","2___not_very_m","2___very_little",NA,736268,"2015-09-30T12:23:55",2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Suruchi Pant","Kathmandu","55_greater","male","Newar","skilled_worker","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","2___very_little","news_about_government_decision","4___mostly_yes",NA,"2___very_little","based_on_caste","4___mostly_yes","1___not_at_all","1___not_at_all",NA,736262,"2015-09-30T12:21:46",3,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Jharana RaI","Kathmandu","15_24","female","Tamang","other","yes__some_diff","3___neutral","long_term_shelter__housing","3___neutral","building_mater","4___mostly_yes",NA,"3___neutral","building_mater","3___neutral","based_on_dista","4___mostly_yes","3___neutral","3___neutral",NA,736160,"2015-09-30T12:17:23",4,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","25_39","female","Tamang","other","no_difficulty","3___neutral","short_term_she","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","3___neutral","based_on_polit","4___mostly_yes","3___neutral","2___very_little",NA,736147,"2015-09-30T12:15:20",5,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","40_54","female","Tamang","other","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","cash_for_work","2___very_little","news_about_government_decision","2___very_little","building_mater","2___very_little","first_come__fi","3___neutral","3___neutral","2___very_little","long_term_shelter__housing",736138,"2015-09-30T12:12:55",6,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Jharana Rai","Kathmandu","40_54","male","Tamang","farmer_laborer","yes__some_diff","3___neutral","short_term_she","3___neutral","building_mater","4___mostly_yes",NA,"3___neutral","building_mater","3___neutral","based_on_polit","4___mostly_yes","3___neutral","3___neutral",NA,736112,"2015-09-30T12:10:39",7,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"Jharana Rai","Kathmandu","40_54","female","Tamang","other","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","3___neutral","based_on_polit","3___neutral","3___neutral","3___neutral","long_term_shelter__housing",736097,"2015-09-30T12:08:50",8,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Jharana Rai","Kathmandu","25_39","female","Tamang","other","no_difficulty","3___neutral","long_term_shelter__housing","2___very_little","building_mater","4___mostly_yes",NA,"3___neutral","building_mater","4___mostly_yes",NA,"4___mostly_yes","3___neutral","3___neutral","other",736082,"2015-09-30T12:06:32",9,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Jharana Rai","Kathmandu","55_greater","female","Tamang","other","no_difficulty","3___neutral","long_term_shelter__housing","2___very_little","building_mater","3___neutral","news_about_government_decision","2___very_little","building_mater","4___mostly_yes",NA,"4___mostly_yes","3___neutral","3___neutral","long_term_shelter__housing",736031,"2015-09-30T12:01:29",10,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","55_greater","female","Tamang","other","no_difficulty","3___neutral","long_term_shelter__housing","2___very_little","building_mater","2___very_little","news_about_government_decision","2___very_little","building_mater","4___mostly_yes",NA,"4___mostly_yes","3___neutral","3___neutral",NA,735992,"2015-09-30T11:58:13",11,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","25_39","female","Brahmin","other","yes__some_diff","3___neutral","long_term_shelter__housing","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","4___mostly_yes",NA,"4___mostly_yes","3___neutral","3___neutral","long_term_shelter__housing",735959,"2015-09-30T11:53:43",12,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","25_39","male","Newar","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","2___very_little","news_about_government_decision","2___very_little","building_mater","3___neutral","first_come__fi","3___neutral","1___not_at_all","2___very_little",NA,735933,"2015-09-30T11:49:06",14,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Jharana Rai","Kathmandu","15_24","female","Tamang","other","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","building_mater","4___mostly_yes",NA,"3___neutral","building_mater","3___neutral","based_on_dista","4___mostly_yes","3___neutral","3___neutral","long_term_shelter__housing",736061,"2015-09-30T12:03:50",15,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"Anjal Bhatta","Kathmandu","40_54","male","Newar","ngo_worker_bus","no_difficulty","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes","3___neutral","4___mostly_yes",NA,735918,"2015-09-30T11:46:43",16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
"Anjal Bhatta","Kathmandu","25_39","male","Newar","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","2___very_little","building_mater","4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes",NA,"4___mostly_yes","1___not_at_all","4___mostly_yes",NA,735910,"2015-09-30T11:44:02",17,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"Anjal Bhatta","Kathmandu","25_39","female","other","other","no_difficulty","3___neutral","financial_support","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","3___neutral","based_on_polit","3___neutral","3___neutral","3___neutral","long_term_shelter__housing",735841,"2015-09-30T11:35:58",18,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
"Paras Ranjit","Lalitpur","25_39","male","Chhetri","farmer_laborer","no_difficulty","1___not_at_all","financial_support","1___not_at_all","building_mater","4___mostly_yes",NA,"5___completely_yes",NA,"3___neutral","first_come__fi","3___neutral","1___not_at_all","1___not_at_all",NA,735823,"2015-09-30T11:34:16",19,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Jharana Rai","Kathmandu","55_greater","female","Newar","other","no_difficulty","2___very_little","long_term_shelter__housing","2___very_little","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","2___very_little","first_come__fi","4___mostly_yes","2___not_very_m","2___very_little","long_term_shelter__housing",735811,"2015-09-30T11:33:04",20,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"Paras Ranjit","Lalitpur","25_39","male","Brahmin","farmer_laborer","no_difficulty","1___not_at_all","long_term_shelter__housing","1___not_at_all","building_mater","4___mostly_yes",NA,"4___mostly_yes",NA,"3___neutral","based_on_caste","2___very_little","1___not_at_all","1___not_at_all",NA,735801,"2015-09-30T11:32:01",21,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Paras Ranjit","Lalitpur","25_39","male","Brahmin","farmer_laborer","no_difficulty","1___not_at_all","short_term_she","1___not_at_all","building_mater","4___mostly_yes",NA,"4___mostly_yes",NA,"2___very_little","based_on_caste","3___neutral","1___not_at_all","1___not_at_all",NA,735812,"2015-09-30T11:33:09",22,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"Jharana Rai","Kathmandu","40_54","female","Newar","other","no_difficulty","3___neutral","long_term_shelter__housing","3___neutral","building_mater","3___neutral","news_about_government_decision","3___neutral","building_mater","3___neutral","based_on_caste","4___mostly_yes","3___neutral","3___neutral","long_term_shelter__housing",735776,"2015-09-30T11:30:28",23,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
